name;short_name;streetAddress;department;province;district;area
PASTORAL SOCIAL CARITAS REQUENA;;SAN FRANCISCO 104;LORETO;REQUENA;REQUENA;SALUD
PATRONATO DE CULTURA MACHUPICCHU;;CALLE TURQUESAS E-11, URB. KENNEDY  A;CUSCO;CUSCO;WANCHAQ;COMERCIO Y TURISMO / CULTURA
PATRONATO DE LA CULTURA ALTIPLANICA;PCA;AV. EL CORTIJO  425   MONTERRICO;LIMA;LIMA;SANTIAGO DE SURCO;AMBIENTE / CULTURA
PATRONATO DEL PARQUE NACIONAL ALTO PURUS;;Jr. Puno N°1035 – Puerto Maldonado ;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;AMBIENTE
PATRONATO TRUJILLO ¡AHORA!;;JR. SAN MARTIN 455 - CENTRO CIVICO;LA LIBERTAD;TRUJILLO;TRUJILLO;AMBIENTE / GOBERNABILIDAD
PERAC;;AV. BENAVIDES 441, OFICINA 702;LIMA;LIMA;MIRAFLORES;AMBIENTE / GÉNERO
PERIFERIA CIUDAD VIVA;;Calle Coronel Inclán 300;LIMA;LIMA;MIRAFLORES;AMBIENTE
PERU AL DESARROLLO SIGLO XXI;PEDESI XXI;JR. JOSE CARLOS MARIATEGUI 401, URB. SAN JUAN;PASCO;PASCO;YANACANCHA;AGROPECUARIO / ENERGÍA/EXTRACTIVA / TRABAJO
PERU CHILDRENS CHARITY;;AV. JAVIER PRADO OESTE 650  DPTO. 502;LIMA;LIMA;MAGDALENA DEL MAR;EDUCACIÓN / GÉNERO / SALUD
PERU EN ACCION;;JR. ANAXIMANDRO VEGA 140, 2° PISO;CAJAMARCA;CHOTA;CHOTA;AGROPECUARIO / CIENCIA Y TECNOLOGÍA / EDUCACIÓN
PERU TIERRA NUEVA;;JR. NAZCA 220;JUNIN;HUANCAYO;EL TAMBO;AGROPECUARIO
PERU UNIDO CON AMOR;PUCA;JR. SAN MARTÍN 124;AYACUCHO;HUAMANGA;AYACUCHO;AMBIENTE / GÉNERO / PRODUCCIÓN
